Date	Headline	Stock Difference	True Label	Predicted Label	Correlation
3/26/2019	Buy Boeing Shares as Risks Are Already Priced In, Baird Says - Bloomberg	-5.2	0	1	-0.5649704924139264
3/26/2019	Giuliani demands CNN apologize for Trump-Russia coverage; Avenatti suggests arrest is politically-motivated - Fox News	-5.2	0	1	-0.36233789069860833
3/26/2019	Pilots had 40 SECONDS to over-ride automated system in Lion Air and Ethiopian Airlines crashes	-5.2	0	0	0.5892053866467054
3/26/2019	Top senator says US faces 'too many threats' to have an acting defense secretary	-5.2	0	0	0.6988976812580944
3/26/2019	A Southwest Airlines Boeing 737 Max just made an emergency landing in Florida (LUV, BA)	-5.2	0	0	0.6301303733187791
3/26/2019	China signs $34 billion order for 300 Airbus planes as country suspends licenses for Boeing 737 Max aircraft after deadly crashes (BA, AIRBUS)	-5.2	0	1	-0.0
3/26/2019	Lion Air crash: Boeing pilots had '40 seconds to fix error' in simulation of deadly flight	-5.2	0	0	0.5448846566486442
3/26/2019	Boeing is in crisis, but it is doing just fine in its race with Airbus	-5.2	0	1	-0.6173851039715936
3/26/2019	How the FAA must step up to protect Americans	-5.2	0	1	-0.8862576247251476
3/26/2019	Changes coming at FAA after crashes, watchdog says	-5.2	0	1	-0.6450218386964062
3/26/2019	NYT: Pilots had 40 seconds to avert disaster in test of Boeing 737 Max plane	-5.2	0	0	0.7015266579751149
3/26/2019	What's moving markets today	-5.2	0	1	-1.0
3/26/2019	Southwest Boeing 737 Max 8 plane makes emergency landing due to reported engine problem - Fox News	-5.2	0	0	0.6671763906606191
3/26/2019	Boeing Fires Employee Responsible for Hanging a Noose in a South Carolina Factory	-5.2	0	1	-0.6268754423126737
3/26/2019	In a New Blow to Boeing, Rival Airbus Sells 300 Planes to China	-5.2	0	1	-0.7060925082967259
3/26/2019	U.S. Astronauts Will Be Back on the Moon by 2024, Vice President Pence Said	-5.2	0	1	-0.6668035876879399
3/26/2019	Boeing 737 MAX jet makes emergency landing in Orlando	-5.2	0	0	0.8863786899456264
3/26/2019	Baird: Buy Boeing as risks are priced in	-5.2	0	1	-0.7087685440733505
3/26/2019	FAA head to say oversight needs to 'evolve' after Boeing crashes - Reuters	-5.2	0	0	0.7409185613967079
3/26/2019	Airbus wins major China order for 300 jets	-5.2	0	1	-0.7711160163869197
3/26/2019	EXPLAINER-Boeing 737 MAX: What to expect at Capitol Hill, Boeing meetings	-5.2	0	0	0.6404577529843007
3/26/2019	China not taking Boeing 737 Max 8 airworthiness certificate applications	-5.2	0	0	0.6578694327315803
3/26/2019	UPDATE 1-China not taking Boeing 737 MAX 8 airworthiness certificate applications	-5.2	0	0	0.6578694327315803
3/26/2019	Lufthansa plans to buy either Boeing 737 MAX or Airbus A320neo	-5.2	0	1	-0.6558223859214493
3/26/2019	RPT-UPDATE 2-Boeing fix will prevent repeated activation of anti-stall system -sources	-5.2	0	0	0.7831035483656007
3/26/2019	PRESS DIGEST- Wall Street Journal - March 26	-5.2	0	1	-0.8661348090964779
3/26/2019	Crash probe brings more scrutiny of Boeing, FAA	-5.2	0	0	0.7980264994949667
3/26/2019	Boeing 737 MAX forced to make emergency landing	-5.2	0	0	0.8012823480597795
3/26/2019	Ethiopian official: Preliminary report on Boeing 737 MAX 8 crash due out this week	-5.2	0	0	0.7834437299471797
3/26/2019	After-hours buzz: KB Home, Bed Bath & Beyond, Boeing & more	-5.2	0	1	-0.6074522432156917
3/26/2019	China not taking Boeing 737 MAX 8 airworthiness certificate applications	-5.2	0	0	0.6578694327315803
3/26/2019	Exclusive: FAA says oversight needs to 'evolve' after Boeing crashes	-5.2	0	1	-0.6668639794531472
3/26/2019	Lufthansa plans to buy either Boeing 737 MAX or Airbus A320neo	-5.2	0	1	-0.6558223859214493
3/26/2019	Southwest 737 Max makes emergency landing in Orlando	-5.2	0	0	0.914010305507337
3/26/2019	The Daily 202: Trump’s response to the Mueller report foreshadows bitter 2020 battles	-5.2	0	1	-0.5610919259255847
3/26/2019	Airbus wins China order for 300 jets as Xi Jinping visits France	-5.2	0	1	-0.6423458029197813
3/26/2019	Raytheon Is A Decent Addition To Your Dividend Growth Portfolio	-5.2	0	1	-0.7880598820589352
3/26/2019	Selling Or Holding Boeing Depends More On The Economy Than The Grounding	-5.2	0	1	-0.8149970002520601
3/26/2019	Southwest Boeing 737 Max reportedly made an emergency landing at Orlando International Airport	-5.2	0	0	0.6860394858936495
3/26/2019	Key senator urges White House to fill top Pentagon post	-5.2	0	1	-0.9243440146222166
3/26/2019	Boeing CEO says company is 'humbled and learning' from deadly Ethiopian Airlines crash	-5.2	0	0	0.5132741282815811
3/26/2019	Norwegian Air temporarily suspends some NY ticket sales	-5.2	0	1	-0.9503379039232959
3/26/2019	Ethiopian official says plane crash report due this week	-5.2	0	0	0.8444558766461548
3/26/2019	Southwest Boeing 737 Max jet makes emergency landing	-5.2	0	0	0.8863786899456264
3/26/2019	The Best Dividend Stocks To Buy Ahead Of The Coming Bear Market	-5.2	0	1	-0.6061754405024421
3/26/2019	Boeing employee who 'hung a noose' at a South Carolina plant is fired after month-long investigation	-5.2	0	0	0.6213365316603109
3/26/2019	Southwest 737 Max makes emergency landing in Orlando	-5.2	0	0	0.914010305507337
3/26/2019	Chairman of India's troubled Jet Airways resigns	-5.2	0	1	-0.848688029244433
3/26/2019	Boeing readies 737 MAX software fix as families wait for crash report	-5.2	0	0	0.6680514683567153
3/26/2019	Lawmakers Scrutinize Timeline for Boeing 737 MAX Software Fix	-5.2	0	0	0.8401407663552714
3/26/2019	Southwest 737 MAX Makes Emergency Landing in Orlando, Fla.	-5.2	0	0	0.8289139636214897
3/26/2019	In Test of Boeing Jet, Pilots Had 40 Seconds to Fix Error	-5.2	0	0	0.7722427537433882
3/26/2019	Boeing 737 MAX software fix: easy to upload, harder to approve	-5.2	0	0	0.727236452852205
3/26/2019	Ethiopian crash report likely to be released this week as Boeing briefs airlines	-5.2	0	0	0.6506312085909629
3/26/2019	Ethiopian crash report likely to be released this week as Boeing briefs airlines	-5.2	0	0	0.6506312085909629
3/26/2019	Ethiopian crash report likely to be released this week as Boeing briefs airlines	-5.2	0	0	0.6506312085909629
3/26/2019	Southwest 737 MAX 8 passenger-less flight lands safely after declaring emergency: FAA	-5.2	0	0	0.6727618608169519
3/26/2019	Airbus shares rally after large Chinese order	-5.2	0	0	0.8122882420041685
3/26/2019	NASA and the White House want billions so companies will compete to build human moon landers	-5.2	0	1	-0.6486571913042072
3/28/2019	Brexit, Boeing, China: Your Thursday Briefing	-2.16	0	1	-0.7817484936745093
3/28/2019	Your Thursday Briefing	-2.16	0	0	0.9313354060499403
3/28/2019	Bad Times in Trumpville	-2.16	0	1	-0.9243440146222166
3/28/2019	Business this week	-2.16	0	1	-0.9393718528145023
3/28/2019	WATCH: Speeding semi-truck slams into school bus	-2.16	0	1	-0.9243440146222166
3/28/2019	Boeing 737 Max: Don't rush into criminal case and don't make safety a political football	-2.16	0	1	-0.5064868344108193
3/28/2019	FAA: We don’t allow companies to police themselves	-2.16	0	1	-0.7424595730657233
3/28/2019	Airliners, E-Cigs Dent America's Self-Regulating Credibility	-2.16	0	1	-0.6292339922072252
3/28/2019	Boeing Sued Over Ethiopia Crash as Legal, Political Woes Deepen	-2.16	0	0	0.7364204706715425
3/28/2019	Boeing Faces Capitol’s Glare as It Presses to Fix the 737 Max	-2.16	0	0	0.6113287622025213
3/28/2019	Some Presidents Felt Trapped in the White House Bubble. Trump Thrives in It.	-2.16	0	1	-0.848688029244433
3/28/2019	Boeing Faces Capitol’s Glare as It Presses to Fix the 737 Max	-2.16	0	0	0.6113287622025213
3/28/2019	U.S. safety officials review Ethiopian black box data: sources	-2.16	0	0	0.7177568574960056
3/28/2019	U.S. lawsuit filed against Boeing over Ethiopian Airlines crash	-2.16	0	0	0.7012842010766117
3/28/2019	Washington state reviewing WTO Boeing tax case ruling: statement	-2.16	0	0	0.8981328371746548
3/28/2019	Futures muted with U.S.-China trade negotiations in focus	-2.16	0	1	-0.7979927428148372
3/28/2019	David Jason: Planes, Trains and Automobiles, review - a cushty jaunt at vintage vehicles with a delightful guide	-2.16	0	1	-0.5730012059264238
3/28/2019	Inside the training simulator for Boeing 737 Max 8 plane	-2.16	0	0	0.8913114393961348
3/28/2019	Boeing And Airbus Don't Impress In February	-2.16	0	1	-0.7199782075425021
3/28/2019	Airlines face lawsuits over 'toxic' cabin air	-2.16	0	0	0.7442785701429112
3/28/2019	None	-2.16	0	1	-1.0
3/28/2019	Boeing hit with lawsuit after 737 Max crash	-2.16	0	0	0.8482771139455871
3/28/2019	Senators grill FAA on cozy relationship with Boeing	-2.16	0	1	-0.8450526766366319
3/28/2019	WTO rules US failed to stop unfair tax breaks to Boeing	-2.16	0	0	0.8186074486023825
3/28/2019	Five airlines face toxic cabin air claims in UK, union says	-2.16	0	1	-0.6144654558346109
3/28/2019	FirstFT: Today’s top stories	-2.16	0	1	-0.9318579337183595
3/28/2019	Buffett says Delta stake rose above 10% by mistake - Seeking Alpha	-2.16	0	1	-0.6074522432156917
3/28/2019	Boeing Has Announced Software Fixes for Its Troubled 737 Max Aircraft	-2.16	0	1	-0.6697080851672255
3/28/2019	Millennials keep pouring money into Boeing after the 737 Max turmoil (BA)	-2.16	0	0	0.8227722751946372
3/28/2019	Millennials keep pouring money into Boeing after the 737 Max turmoil (BA)	-2.16	0	0	0.8227722751946372
3/28/2019	5 things to know for March 28: Health care, Brexit, Boeing, Jayme Closs, EU car rules	-2.16	0	1	-0.4854963323130084
3/28/2019	Aerion designing supersonic jet to run completely on biofuels: CEO	-2.16	0	1	-0.6367479113033682
3/28/2019	Millennials keep pouring money into Boeing after the 737 Max turmoil (BA)	-2.16	0	0	0.8227722751946372
3/28/2019	Grounded Boeing 737 Max also grounds FAA reputation	-2.16	0	0	0.8051608029024928
3/28/2019	Boeing got unfair U.S. tax break, hurting Airbus, WTO says	-2.16	0	0	0.8382624270391292
3/28/2019	First lawsuit filed in Boeing 737 MAX crash in Ethiopia	-2.16	0	0	0.6991123631930385
3/28/2019	Danaher: Buy For Long-Term Total Return And 9% Three-Year CAGR	-2.16	0	1	-0.6875035894981715
3/28/2019	Wall Street Breakfast: Yield Curve, Trade Talks, GDP	-2.16	0	1	-0.7880598820589352
3/28/2019	'My heart broke into 100 pieces this morning': People who worked at Wow Air react to the airline's surprise announcement that it's shutting down	-2.16	0	1	-0.5189437489450233
3/28/2019	Help Wanted: Trump administration riddled with vacancies	-2.16	0	1	-0.9243440146222166
3/28/2019	Washington state reviewing WTO Boeing tax case ruling -statement	-2.16	0	0	0.8981328371746548
3/28/2019	U.S. lawsuit filed against Boeing over Ethiopian Airlines crash	-2.16	0	0	0.7012842010766117
3/28/2019	WTO says U.S. failed to withdraw state tax break for Boeing	-2.16	0	0	0.7709310346974927
3/28/2019	UPDATE 1-Vietnam's Bamboo Airways to buy 50 Airbus A321neo planes - chairman	-2.16	0	1	-0.5028827203998459
3/28/2019	PRESS DIGEST - Wall Street Journal - March 28	-2.16	0	1	-0.8661348090964779
3/28/2019	Buffett says Apple content plan hard to predict, touts airline safety	-2.16	0	0	0.7191529398918498
3/28/2019	PRESS DIGEST- New York Times business news - March 28	-2.16	0	1	-0.8055066619109801
3/28/2019	News Daily: MPs reject eight Brexit options, and Facebook bans white nationalism	-2.16	0	1	-0.5904479857784687
3/28/2019	Lawsuit filed against Boeing over crash in Ethiopia	-2.16	0	0	0.7340756420112131
3/28/2019	Trade panel: Boeing got unfair US tax break, hurting Airbus	-2.16	0	0	0.8382624270391292
3/28/2019	Buffett says issues with Boeing jet won't hold back aviation	-2.16	0	0	0.7670057098522485
3/28/2019	Business Highlights	-2.16	0	1	-0.9393718528145023
3/28/2019	How Does The Vanguard Industrial ETF Offering Compare To Competitors?	-2.16	0	1	-0.7048899775850088
3/28/2019	FAA boss admits letting Boeing partly self-regulate the software thought to be behind both fatal 737 Max crashes	-2.16	0	1	-0.3852305400398238
3/28/2019	Morning Bits: Trump is determined to sink his party	-2.16	0	1	-0.848688029244433
3/28/2019	U.S. lawsuit filed against Boeing over Ethiopian Airlines crash	-2.16	0	0	0.7012842010766117
3/28/2019	Washington state reviewing WTO Boeing tax case ruling: statement	-2.16	0	0	0.8981328371746548
3/28/2019	Buffett says Apple content plan hard to predict, touts airline safety	-2.16	0	0	0.7191529398918498
3/28/2019	Aerion designing supersonic jet to run completely on biofuels: CEO	-2.16	0	1	-0.6367479113033682
3/28/2019	The Daily 202: A judge’s ruling against Medicaid work requirements shows the difficulty of scaling back entitlements	-2.16	0	1	-0.5686058450217274
3/28/2019	SGL Carbon's (SGLFF) CEO Jurgen Kohler on Q4 2018 Results - Earnings Call Transcript	-2.16	0	1	-0.644261830399511
3/28/2019	Warren Buffett: Boeing 737 Max problems 'aren't going to change the industry'	-2.16	0	0	0.7063326361569839
3/28/2019	US lawsuit filed against Boeing over Ethiopian Airlines crash	-2.16	0	0	0.7012842010766117
3/28/2019	It will take China more than 10 years to compete with Boeing, Airbus, says CEO of Dassault Systemes	-2.16	0	1	-0.5892315748304265
3/28/2019	Danaher: Buy For Long-Term Total Return And 9% 3-Year CAGR	-2.16	0	1	-0.6875035894981715
3/28/2019	Trade panel: Boeing got unfair US tax breaks, hurting Airbus	-2.16	0	0	0.8382624270391292
3/28/2019	Lawsuit filed against Boeing over crash in Ethiopia	-2.16	0	0	0.7340756420112131
3/28/2019	Boeing sued over Ethiopia crash as legal, political woes deepen	-2.16	0	0	0.7364204706715425
3/28/2019	Buffett says issues with Boeing jet won't hold back aviation	-2.16	0	0	0.7670057098522485
3/28/2019	FAA head on whether Boeing 737 Max 8 safety features should have been mandatory	-2.16	0	1	-0.7290594296394737
3/28/2019	FAA to revamp oversight after deadly Boeing crashes	-2.16	0	0	0.7491344353646017
3/28/2019	Eye Opener at 8: Senators grill FAA on Boeing relationship	-2.16	0	0	0.7833824553662291
3/28/2019	Schoolboy, 10, meets up with Qantas CEO after sending him a letter asking how to run his airline	-2.16	0	1	-0.6831082285934751
3/28/2019	Trade panel: Boeing got unfair US tax breaks, hurting Airbus	-2.16	0	0	0.8382624270391292
3/28/2019	Buffett says Apple content plan hard to predict, touts airline safety	-2.16	0	0	0.7191529398918498
3/28/2019	Buffett says Apple content plan hard to predict, touts airline safety	-2.16	0	0	0.7191529398918498
4/3/2019	Boeing confirms delay of Starliner’s first test flight	-4.94	0	1	-0.7025314276904572
4/3/2019	Senate panel opens probe of FAA inspectors over Boeing 737 MAX 8	-4.94	0	0	0.8902571447883401
4/3/2019	First report on Boeing crash that killed 157 in Ethiopia due Thursday: source	-4.94	0	0	0.6506197829454152
4/3/2019	Boeing's new MAX flight control system 'seems foolproof', Norwegian's CEO says	-4.94	0	0	0.7139344952790203
4/3/2019	Pilots on the doomed Ethiopian Air 737 Max reportedly followed Boeing's emergency procedures, but still couldn't stop the plane from crashing	-4.94	0	0	0.34844102565655366
4/3/2019	Ethiopian Airlines Pilots Followed Protocol During Boeing 737 MAX Crash: Source	-4.94	0	0	0.6658898565491663
4/3/2019	Damaged sensor on Ethiopian Airlines 737 MAX triggered fatal crash: Sources	-4.94	0	0	0.6804996199611142
4/3/2019	Singapore Airlines grounds two of its Boeing 787-10s because of engine issues	-4.94	0	1	-0.6590446797735845
4/3/2019	Pilots of doomed Ethiopian Airlines 737 MAX jet followed Boeing procedures: report	-4.94	0	0	0.7164477131669661
4/3/2019	Boeing Pushes Back Target Date to Fly Astronauts for NASA	-4.94	0	1	-0.6268754423126737
4/3/2019	Boeing 737 Max Grounding Puts Parts Suppliers At Risk (Radio)	-4.94	0	0	0.8838289746274961
4/3/2019	Family of Ralph Nader’s Niece, Killed in Crash, Plans to Sue Boeing	-4.94	0	0	0.8515631861895203
4/3/2019	Even After a Trade Deal, Be Wary of China	-4.94	0	1	-0.688645728444681
4/3/2019	Ethiopian air pilots followed Boeing emergency procedures but could not stop plane going down, report says	-4.94	0	0	0.5469638619594387
4/3/2019	Factbox: What we know about Boeing 737 MAX crash and what comes next	-4.94	0	0	0.6218828575792114
4/3/2019	FAA launches new review of Boeing 737 MAX to ensure safety	-4.94	0	0	0.8051608029024928
4/3/2019	Norwegian Air CEO says had good meetings with Boeing	-4.94	0	0	0.8600739825646542
4/3/2019	Ethiopian Airlines pilots initially followed Boeing procedures before crash: WSJ	-4.94	0	0	0.7293648465797627
4/3/2019	Norwegian Air sells two planes as it puts profitability over growth	-4.94	0	1	-0.897223675833941
4/3/2019	UAE to validate any Boeing MAX fix before lifting airspace ban: official	-4.94	0	0	0.6403604028329193
4/3/2019	Boeing's new MAX flight control system 'seems foolproof', Norwegian's CEO says	-4.94	0	0	0.7139344952790203
4/3/2019	Boeing software engaged repeatedly before crash: sources	-4.94	0	0	0.8047771771648985
4/3/2019	Is this Emirates' new premium economy seat?	-4.94	0	1	-0.848688029244433
4/3/2019	Pilots followed Boeing emergency procedures before deadly crash	-4.94	0	0	0.7013312501910723
4/3/2019	What all fliers should know about the 737 MAX situation, even if they don't fly that plane - Fox News	-4.94	0	1	-0.4645218780254085
4/3/2019	Pilots on doomed Boeing reportedly followed emergency procedures	-4.94	0	0	0.7904592418655999
4/3/2019	Ethiopian Airlines Boeing 737 had sensor damaged by foreign object at takeoff	-4.94	0	0	0.5613434923527127
4/3/2019	To smooth the potential awkwardness of reporting to more than one boss, master these 5 tricks, says the former CEO of Aetna	-4.94	0	1	-0.6367479113033682
4/3/2019	A Boeing Breakthrough? - WSJ Podcasts - Wall Street Journal	-4.94	0	1	-0.8906529856298437
4/3/2019	Whistleblower: employees in charge of certifying Boeing Max jets not properly trained	-4.94	0	1	-0.7393410148742767
4/3/2019	The sensor believed to be at the heart of the Lion Air Boeing 737 Max disaster was reportedly repaired at a workshop in Florida before the crash (BA)	-4.94	0	0	0.31447267127187095
4/3/2019	10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, BA, APRN, GME)	-4.94	0	1	-0.6217804648762898
4/3/2019	Ethiopian Airlines pilots followed Boeing's emergency procedures before crash: report	-4.94	0	0	0.6767556832243645
4/3/2019	Boeing boasted about streamlined approval for the 737 Max. Now it's cleaning up the mess	-4.94	0	1	-0.5940520997894418
4/3/2019	This man was the only passenger on a Boeing 737 to Italy	-4.94	0	0	0.9389878533010247
4/3/2019	New plane wing moves like a bird's and could radically change aircraft design	-4.94	0	1	-0.5805151250225666
4/3/2019	Ethiopian Airlines pilots followed Boeing's emergency steps before 737 Max crash: report	-4.94	0	0	0.6433751520870998
4/3/2019	Stocks set to rise | Caterpillar shares fall | US-China reportedly near trade deal	-4.94	0	1	-0.7298506765331967
4/3/2019	Boeing Probes, Brexit Twist, Uber Lobbying: CEO Daily for April 3, 2019	-4.94	0	1	-0.615026554077042
4/3/2019	Ethiopian Air pilots followed Boeing procedures before crash - WSJ	-4.94	0	0	0.721675859381628
4/3/2019	Kenyan families of Ethiopian crash victims to sue	-4.94	0	0	0.837822750359171
4/3/2019	Drone Delivery Canada Leaps Ahead Of Amazon Prime Air And Google Wing	-4.94	0	1	-0.5427623089467016
4/3/2019	Ethiopian Airlines pilots reportedly followed Boeing's emergency steps before 737 Max crash	-4.94	0	0	0.6433751520870998
4/3/2019	GM, Ford and Toyota join to advance self-driving testing, standards	-4.94	0	0	0.6491742915593428
4/3/2019	Wall Street Breakfast: Stocks Advance As Trade Talks Resume	-4.94	0	1	-0.810601639347364
4/3/2019	Boeing says successfully tested new 737 MAX software in CEO flight	-4.94	0	0	0.8208091847011314
4/3/2019	Norwegian Air CEO says had good meetings with Boeing	-4.94	0	0	0.8600739825646542
4/3/2019	UAE to validate any Boeing MAX fix before lifting airspace ban - official	-4.94	0	0	0.6403604028329193
4/3/2019	UPDATE 1-Boeing's new 737 MAX flight control system 'seems foolproof' -Norwegian CEO	-4.94	0	0	0.6805539641417556
4/3/2019	First report on Boeing crash that killed 157 in Ethiopia due Thursday -source	-4.94	0	0	0.6506197829454152
4/3/2019	Boeing's new MAX flight control system 'seems foolproof', Norwegian's CEO says	-4.94	0	0	0.7139344952790203
4/3/2019	PRESS DIGEST- New York Times business news - April 3	-4.94	0	1	-0.8249298610079622
4/3/2019	PRESS DIGEST- Wall Street Journal - April 3	-4.94	0	1	-0.8855580081934599
4/3/2019	GM, Ford and Toyota join to advance self-driving testing, standards	-4.94	0	0	0.6491742915593428
4/3/2019	Report: Pilots in doomed plane followed emergency steps	-4.94	0	0	0.8180908574273104
4/3/2019	Markets Right Now: US indexes hold on to moderate gains	-4.94	0	1	-0.9318579337183595
4/3/2019	Business Highlights	-4.94	0	1	-0.9393718528145023
4/3/2019	It's 'inevitable' that a self-driving car will kill someone. Here's why a VC thinks we should be investing in them anyway. (BA, GOOGL, TSLA)	-4.94	0	1	-0.6617086102515559
4/3/2019	FAA forms joint task force with NASA, international aviation regulators to review Boeing 737 Max fix	-4.94	0	1	-0.6415545560260585
4/3/2019	The Boeing 747 and the Airbus A330 are two of the most popular choices for Presidential jets. Here's how the world's leaders travel.	-4.94	0	1	-0.5124334505061334
4/3/2019	Boeing software engaged repeatedly before crash - sources	-4.94	0	0	0.8047771771648985
4/3/2019	Norwegian's CEO held 'good meetings' with Boeing regarding MAX	-4.94	0	0	0.9162211835014719
4/3/2019	Ethiopian Airlines pilots initially followed Boeing procedures before crash - WSJ	-4.94	0	0	0.7293648465797627
4/3/2019	Exclusive: Boeing software engaged repeatedly before crash - sources	-4.94	0	0	0.7305416299012638
4/3/2019	UAE to validate any Boeing MAX fix before lifting airspace ban - official	-4.94	0	0	0.6403604028329193
4/3/2019	GM, Ford and Toyota join to advance self-driving testing, standards	-4.94	0	0	0.6491742915593428
4/3/2019	Wall Street rises on trade hopes, chip stocks at record highs	-4.94	0	0	0.8597447794406242
4/3/2019	Ethiopian 737 pilots followed Boeing guidelines before crash	-4.94	0	0	0.7444425291811809
4/3/2019	Ethiopian Airlines pilots reportedly followed Boeing's emergency procedures before crash	-4.94	0	0	0.6767556832243645
4/3/2019	Ethiopia pilots followed Boeing procedures before crash: Sources	-4.94	0	0	0.7621562875143642
4/3/2019	Report: Pilots in doomed plane followed emergency steps	-4.94	0	0	0.8180908574273104
4/3/2019	WORLD NEWS ROUNDUP: 04/03	-4.94	0	1	-0.848688029244433
4/3/2019	Faulty 737 sensor from Lion Air crash linked to Florida repair shop	-4.94	0	1	-0.6442466797418139
4/3/2019	New info about moments before Ethiopian Airlines crash raises questions	-4.94	0	0	0.7500294264320542
4/3/2019	Kenyan families of Ethiopian crash victims to sue	-4.94	0	0	0.837822750359171
3/27/2019	Your Wednesday Briefing	2.32	1	0	-0.9313354060499403
3/27/2019	Boeing introduces 737 Max software overhaul	2.32	1	0	-0.9389878533010247
3/27/2019	Boeing's reputation on the line after crashes	2.32	1	0	-0.866529737827346
3/27/2019	5 things you need to know today	2.32	1	1	1.0
3/27/2019	'We are all humbled': Boeing CEO publishes contrite open letter, as 737 Max crash investigations zero in on software linked to nosedives that brought down 2 planes	2.32	1	0	-0.40359421918340194
3/27/2019	The 30 highest-paying jobs in Washington state, where Amazon, Microsoft and Boeing have taken over	2.32	1	1	0.7587642139712587
3/27/2019	The FAA’s Oversight of Boeing Will Be Examined in Senate Hearings	2.32	1	1	0.7844245294511342
3/27/2019	Vice President Mike Pence Wants to Land Astronauts on the Moon Within Five Years	2.32	1	1	0.848688029244433
3/27/2019	Boeing reveals proposed updates to 737 MAX amid scrutiny of automated safety system	2.32	1	0	-0.7784071258930684
3/27/2019	'Start Here': Jussie Smollett's shocking deal, and a new battle over Obamacare	2.32	1	1	0.7999691620597743
3/27/2019	Boeing working to ‘restore faith’ in industry	2.32	1	1	0.8906529856298437
3/27/2019	Senators to press Trump officials on air safety following Boeing 737 Max 8 crashes abroad	2.32	1	1	0.6612509371790369
3/27/2019	Senate holds hearing on the Boeing 737 Max 8	2.32	1	0	-0.9389878533010247
3/27/2019	Barbara Bush, Trump talks to Hannity, $750M Powerball jackpot: 5 things to know Wednesday	2.32	1	1	0.7730320438666494
3/27/2019	India becomes 4th country to use anti-satellite weapon in demonstration of its 'space power'	2.32	1	1	0.6217200731110822
3/27/2019	Americans will return to moon by 2024 -- with or without NASA, Pence says	2.32	1	1	0.8030877202512211
3/27/2019	US aims for humans on Moon in five years	2.32	1	1	0.8043645229644706
3/27/2019	Senators Say Boeing Crashes Have Shaken Confidence in Aviation	2.32	1	1	0.7706734939720978
3/27/2019	Boeing Readies 737 Max Software Update as Senate Probes Crashes	2.32	1	0	-0.8286511159649159
3/27/2019	Boeing Says It Was Nearing Software Fix Before Second 737 Crash	2.32	1	0	-0.7971064409047239
3/27/2019	Chao Defends FAA Amid Scrutiny of Agency and Ties to Boeing	2.32	1	1	0.5618519342224798
3/27/2019	Sen. Jerry Moran on Boeing 737 Max and U.S. Trade Policy	2.32	1	0	-0.8855881970416748
3/27/2019	Boeing, Cyclone Idai, McGregor: Your Wednesday Briefing	2.32	1	0	-0.8186074486023825
3/27/2019	Brexit, Boeing, Baseball: Your Wednesday Evening Briefing	2.32	1	1	0.681131809348538
3/27/2019	As Boeing Confronted a Swelling Crisis, It Had Little to Say	2.32	1	1	0.7737920521635444
3/27/2019	India, Brexit, China: Your Thursday Briefing	2.32	1	1	0.8154395226668821
3/27/2019	Live Briefing: Boeing and F.A.A. Hearings: Live Updates	2.32	1	0	-0.85030413422888
